Property_Name,Address,ZIP,Property_Type,Gross_Sq_Ft,Property_Uses,Site_EUI,EnergyStar_Score,EnergyStar_Certified,Year_Built,GHG_Emissions,GHG_Intensity,Site_Energy_Use,Percent_Electr,Percent_Gas,Percent_Steam,Water_Intensity,OnSite_Solar
50 West Broadway,50 West Broadway,2127,Multifamily Housing,250755,"Multifamily Housing, Parking",39.3,97,,2008,585,2.9,"* 7,898,243",48%,52%,0%,,
Boston Trinity Academy,17 Hale Street,2136,K-12 School,53000,K-12 School,50.4,98,,1956,142.4,2.7,"* 2,673,498",0%,100%,0%,,
Transorg LP c/o KeyPoint Partners LLC,7 Elkins Street,2127,Other,60000,Other,117.1,Not applicable to this property type,,1981,627.7,10.5,"* 7,024,938",67%,0%,0%,,
Garage at Post Office Square,Zero Post Office Square,2109,Parking,532700,"Other - Recreation, Parking",57.8,Not applicable to this property type,,1990,279.6,5.6,"* 2,890,510",100%,0%,0%,,
73 Tremont St,73 Tremont St,2108,Office,374958,"Office, Parking, Restaurant",65,80,"2014, 2013, 2012, 2010, 2009, 2008, 2007",1898,1891.7,6.2,"* 19,743,998",98%,2%,0%,,
Sheraton Boston,39 Dalton Street,2199,Hotel,1105548,"Hotel, Parking, Restaurant",104.5,57,"2008, 2007, 2002",1965,7486.4,7.1,"* 109,727,060",35%,65%,0%,,
East Boston Neighborhood Health Center,10 Gove St,2128,Urgent Care/Clinic/Other Outpatient,57458,Urgent Care/Clinic/Outpatient,103.1,Not applicable to this property type,,1978,533.8,9.3,"* 5,922,970",85%,15%,0%,,
Judge Baker Children's Center,53 Parker Hill Ave,2120,Other - Education,72000,Other - Education,90.1,Not applicable to this property type,,2003,461.6,6.4,"* 6,486,788",41%,59%,0%,,
Regina Cleri,60 Wm. Cardinal O'Connell Way,2114,Senior Care Community,72000,Senior Care Community,81.7,74,,1964,384.4,5.3,"* 5,884,284",28%,72%,0%,,
265 Franklin Street,265 Franklin Street,2110,Office,406902,"Office, Parking, Restaurant, Retail Store",61.2,Not applicable to this property type,,1984,2208.8,5.8,"* 23,370,060",93%,0%,7%,,
10-24 School Street,10-24 School Street,2108,Office,112739,"Office, Retail Store",104.1,Not applicable to this property type,,1925,960.5,8.5,"* 11,732,388",51%,0%,49%,,
CBRE - 101 Arch St,101 Arch Street,2110,Office,497138,"Fast Food Restaurant, Food Service, Office, Parking, Restaurant",77.3,75,"2013, 2012, 2011, 2010, 2009",1988,3481.3,7.3,"* 36,632,459",96%,4%,0%,,
148 State Street,148 State Street,2109,Office,64233,"Office, Restaurant",,Not Available,,1899,0,0,Not Available,0%,0%,0%,,
Piano Craft Guild,791 Tremont Street,2118,Multifamily Housing,177600,Multifamily Housing,88,40,,1972,957.8,5.4,"* 15,632,600",19%,81%,0%,,
Carson Tower,1410 Columbia Road,2127,Multifamily Housing,116876,Multifamily Housing,166.8,Not Available,,1973,1035.2,8.9,"* 19,489,841",0%,100%,0%,,
Union Wharf Condominiums,343 Commercial Street,2109,Multifamily Housing,250000,Multifamily Housing,17.8,Not Available,,1978,332.7,1.3,"* 4,443,207",50%,50%,0%,,
"Boston Flower Exchange, Inc.",540 Albany St,2118,Distribution Center,77000,Distribution Center,89,66,,1970,475.9,6.2,"* 6,849,993",38%,62%,0%,,
Landmark at Longwood,63 Parket Hill Road,2120,Senior Care Community,35000,"Parking, Senior Care Community",0.2,Not Available,,2002,0.5,0,"* 5,524",100%,0%,0%,,
Hebrew Rehabilitation Center,1200 Centre St,2131,Hospital (General Medical & Surgical),419575,"Hospital (General Medical & Surgical), Parking",182.4,91,,1963,5215,12.4,"* 76,548,275",34%,66%,0%,,
Franciscan Monastery of St Clare,920 Centre St,2130,Other - Lodging/Residential,60400,"Other - Lodging/Residential, Parking",54.3,Not applicable to this property type,,1906,242.2,4,"* 3,258,390",12%,12%,0%,,
