Date,Value Date,Zip Code,Water Usage,Power Usage
Mar_2008,8-Mar,"90230(33.99506171100046, -118.39500957899969)",16.7,396
Jul_2011,11-Jul,"90272(34.04886156900045, -118.53572692799969)",35.73,1013
Apr_2010,10-Apr,"90272(34.04886156900045, -118.53572692799969)",23.53,916
Feb_2006,6-Feb,"91607(34.16615064800044, -118.39933720499971)",24.33,456
Aug_2011,11-Aug,"90013(34.04726260700045, -118.24609754999972)",54.06,385
Oct_2006,6-Oct,"90061(33.92303021000049, -118.27377957999971)",30.39,309
Aug_2005,5-Aug,"91352(34.22551211300049, -118.37651723499971)",48.05,637
Mar_2011,11-Mar,"91602(34.15134286900047, -118.3690785869997)",23.57,512
May_2008,8-May,"91350(34.44777217900048, -118.51963737199969)",2694.8,0
Sep_2006,6-Sep,"90068(34.115253253000446, -118.33141607799968)",37.03,660
Jul_2006,6-Jul,"90067(34.059550283000476, -118.41458817399968)",455.32,904
Nov_2005,5-Nov,"90045(33.961522614000444, -118.39344972199967)",31.64,418
Feb_2013,13-Feb,"90029(34.08989145600049, -118.29490934299969)",7.86,249
Oct_2008,8-Oct,"91335(34.200180731000444, -118.54031959799971)",26.43,612
Feb_2008,8-Feb,"90292(33.98163129900047, -118.4511079449997)",29.84,483
Mar_2006,6-Mar,"90248(33.87544370900048, -118.28237834699968)",24.37,458
Mar_2009,9-Mar,"90067(34.059550283000476, -118.41458817399968)",331.92,856
Mar_2010,10-Mar,"91331(34.257261068000446, -118.41981955999972)",17.84,456
Jul_2005,5-Jul,"91340(34.286190115000466, -118.43744724799967)",32.39,642
Nov_2010,10-Nov,"91325(34.23588364000045, -118.5210581879997)",28.62,588
Dec_2006,6-Dec,"90210(34.08553341500044, -118.4042687859997)",48.02,1938
Oct_2011,11-Oct,"91201(34.16917042600045, -118.29181569799971)",0,0
Jul_2006,6-Jul,"91315(39.52368635500045, -99.11415045099966)",325,0
Feb_2013,13-Feb,"90211(34.065663706000464, -118.38146619699972)",0,0
Dec_2006,6-Dec,"90265(34.03506183100046, -118.7602985369997)",895.33,0
Jul_2008,8-Jul,"90245(33.92015381600049, -118.40580691799971)",0,390
Sep_2009,9-Sep,"90035(34.05421027100044, -118.38387767499972)",23.83,506
Apr_2008,8-Apr,"91305(34.201123597000446, -118.60289636799968)",4,0
Jul_2006,6-Jul,"91605(34.20546425700047, -118.40193986299971)",37.41,646
Aug_2007,7-Aug,"90012(34.059480762000476, -118.24204800599972)",125.1,314
Aug_2005,5-Aug,"91342(34.30514302800049, -118.43521825999971)",43.67,708
Aug_2005,5-Aug,"91335(34.200180731000444, -118.54031959799971)",31.46,712
Jul_2007,7-Jul,"90035(34.05421027100044, -118.38387767499972)",28.79,494
May_2010,10-May,"90046(34.097151960000474, -118.35826821299969)",26.44,474
Sep_2005,5-Sep,"90094(33.972932598000455, -118.42532902799968)",75.5,315
Oct_2010,10-Oct,"91042(34.25460192400044, -118.2872577869997)",14.44,493
Aug_2012,12-Aug,"90212(34.063843148000444, -118.40025834499971)",101.33,751
Apr_2006,6-Apr,"90027(34.10546395500046, -118.2923675139997)",41.54,339
Apr_2007,7-Apr,"91304(34.22192313800048, -118.60967892099967)",36.13,542
Dec_2005,5-Dec,"90230(33.99506171100046, -118.39500957899969)",17.59,407
Feb_2010,10-Feb,"90247(33.89189390000047, -118.29849831699971)",15.15,347
Mar_2010,10-Mar,"90212(34.063843148000444, -118.40025834499971)",51.93,564
Dec_2010,10-Dec,"90068(34.115253253000446, -118.33141607799968)",18.01,622
Mar_2009,9-Mar,"91205(34.13853379300048, -118.2438685629997)",0,617
May_2012,12-May,"90056(33.98651074000048, -118.36959998699967)",18.58,430
Jul_2006,6-Jul,"90056(33.98651074000048, -118.36959998699967)",26.84,505
Sep_2009,9-Sep,"90016(34.02888323300044, -118.35308896599969)",19.43,331
Nov_2012,12-Nov,"90029(34.08989145600049, -118.29490934299969)",9.11,261
May_2013,13-May,"90034(34.02829231300046, -118.40269589399969)",13.13,291
